SchoolName,YearTerm,SType,Level,Total
โรงเรียนปทุมวิไล,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P1,0
โรงเรียนปทุมวิไล,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P2,0
โรงเรียนปทุมวิไล,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P3,0
โรงเรียนปทุมวิไล,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P4,0
โรงเรียนปทุมวิไล,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P5,0
โรงเรียนปทุมวิไล,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P6,0
โรงเรียนปทุมวิไล,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M1,286
โรงเรียนปทุมวิไล,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M2,268
โรงเรียนปทุมวิไล,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M3,242
โรงเรียนปทุมวิไล,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M4,231
โรงเรียนปทุมวิไล,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M5,240
โรงเรียนปทุมวิไล,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M6,245
โรงเรียนปทุมวิไล,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P1,0
โรงเรียนปทุมวิไล,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P2,0
โรงเรียนปทุมวิไล,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P3,0
โรงเรียนปทุมวิไล,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P4,0
โรงเรียนปทุมวิไล,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P5,0
โรงเรียนปทุมวิไล,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P6,0
โรงเรียนปทุมวิไล,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M1,151
โรงเรียนปทุมวิไล,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M2,148
โรงเรียนปทุมวิไล,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M3,130
โรงเรียนปทุมวิไล,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M4,107
โรงเรียนปทุมวิไล,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M5,119
โรงเรียนปทุมวิไล,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M6,90
โรงเรียนปทุมวิไล,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P1,0
โรงเรียนปทุมวิไล,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P2,0
โรงเรียนปทุมวิไล,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P3,0
โรงเรียนปทุมวิไล,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P4,0
โรงเรียนปทุมวิไล,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P5,0
โรงเรียนปทุมวิไล,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P6,0
โรงเรียนปทุมวิไล,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M1,440
โรงเรียนปทุมวิไล,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M2,418
โรงเรียนปทุมวิไล,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M3,377
โรงเรียนปทุมวิไล,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M4,341
โรงเรียนปทุมวิไล,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M5,362
โรงเรียนปทุมวิไล,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M6,336
โรงเรียนปทุมวิไล,2566/1,เดินเท้า,P1,0
โรงเรียนปทุมวิไล,2566/1,เดินเท้า,P2,0
โรงเรียนปทุมวิไล,2566/1,เดินเท้า,P3,0
โรงเรียนปทุมวิไล,2566/1,เดินเท้า,P4,0
โรงเรียนปทุมวิไล,2566/1,เดินเท้า,P5,0
โรงเรียนปทุมวิไล,2566/1,เดินเท้า,P6,0
โรงเรียนปทุมวิไล,2566/1,เดินเท้า,M1,3
โรงเรียนปทุมวิไล,2566/1,เดินเท้า,M2,2
โรงเรียนปทุมวิไล,2566/1,เดินเท้า,M3,3
โรงเรียนปทุมวิไล,2566/1,เดินเท้า,M4,3
โรงเรียนปทุมวิไล,2566/1,เดินเท้า,M5,3
โรงเรียนปทุมวิไล,2566/1,เดินเท้า,M6,1
โรงเรียนปทุมวิไล,2566/1,จักรยานยืมเรียน,P1,0
โรงเรียนปทุมวิไล,2566/1,จักรยานยืมเรียน,P2,0
โรงเรียนปทุมวิไล,2566/1,จักรยานยืมเรียน,P3,0
โรงเรียนปทุมวิไล,2566/1,จักรยานยืมเรียน,P4,0
โรงเรียนปทุมวิไล,2566/1,จักรยานยืมเรียน,P5,0
โรงเรียนปทุมวิไล,2566/1,จักรยานยืมเรียน,P6,0
โรงเรียนปทุมวิไล,2566/1,จักรยานยืมเรียน,M1,0
โรงเรียนปทุมวิไล,2566/1,จักรยานยืมเรียน,M2,0
โรงเรียนปทุมวิไล,2566/1,จักรยานยืมเรียน,M3,2
โรงเรียนปทุมวิไล,2566/1,จักรยานยืมเรียน,M4,0
โรงเรียนปทุมวิไล,2566/1,จักรยานยืมเรียน,M5,0
โรงเรียนปทุมวิไล,2566/1,จักรยานยืมเรียน,M6,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P2,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P3,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P4,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P5,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P6,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M1,183
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M2,185
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M3,225
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M4,184
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M5,192
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M6,197
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P2,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P3,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P4,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P5,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P6,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M1,134
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M2,156
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M3,135
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M4,130
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M5,81
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M6,68
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P2,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P3,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P4,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P5,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P6,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M1,317
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M2,344
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M3,363
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M4,319
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M5,276
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M6,267
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เดินเท้า,P1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เดินเท้า,P2,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เดินเท้า,P3,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เดินเท้า,P4,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เดินเท้า,P5,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เดินเท้า,P6,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เดินเท้า,M1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เดินเท้า,M2,2
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เดินเท้า,M3,3
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เดินเท้า,M4,5
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เดินเท้า,M5,3
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,เดินเท้า,M6,2
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,จักรยานยืมเรียน,P1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,จักรยานยืมเรียน,P2,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,จักรยานยืมเรียน,P3,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,จักรยานยืมเรียน,P4,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,จักรยานยืมเรียน,P5,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,จักรยานยืมเรียน,P6,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,จักรยานยืมเรียน,M1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,จักรยานยืมเรียน,M2,1
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,จักรยานยืมเรียน,M3,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,จักรยานยืมเรียน,M4,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,จักรยานยืมเรียน,M5,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2566/1,จักรยานยืมเรียน,M6,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P1,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P2,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P3,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P4,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P5,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P6,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M1,62
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M2,42
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M3,75
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M4,37
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M5,60
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M6,45
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P1,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P2,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P3,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P4,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P5,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P6,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M1,48
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M2,59
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M3,28
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M4,30
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M5,20
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M6,19
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P1,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P2,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P3,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P4,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P5,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P6,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M1,112
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M2,102
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M3,112
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M4,67
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M5,83
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M6,64
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เดินเท้า,P1,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เดินเท้า,P2,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เดินเท้า,P3,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เดินเท้า,P4,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เดินเท้า,P5,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เดินเท้า,P6,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เดินเท้า,M1,2
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เดินเท้า,M2,1
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เดินเท้า,M3,9
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เดินเท้า,M4,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เดินเท้า,M5,3
โรงเรียนปทุมธานี นันทมุนีบำรุง,2566/1,เดินเท้า,M6,0
โรงเรียนหอวัง ปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P1,0
โรงเรียนหอวัง ปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P2,0
โรงเรียนหอวัง ปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P3,0
โรงเรียนหอวัง ปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P4,0
โรงเรียนหอวัง ปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P5,0
โรงเรียนหอวัง ปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,P6,0
โรงเรียนหอวัง ปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M1,172
โรงเรียนหอวัง ปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M2,176
โรงเรียนหอวัง ปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M3,236
โรงเรียนหอวัง ปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M4,282
โรงเรียนหอวัง ปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M5,268
โรงเรียนหอวัง ปทุมธานี,2566/1,เสียค่าโดยสารโดยใช้พาหนะ,M6,326
โรงเรียนหอวัง ปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P1,0
โรงเรียนหอวัง ปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P2,0
โรงเรียนหอวัง ปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P3,0
โรงเรียนหอวัง ปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P4,0
โรงเรียนหอวัง ปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P5,0
โรงเรียนหอวัง ปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,P6,0
โรงเรียนหอวัง ปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M1,64
โรงเรียนหอวัง ปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M2,56
โรงเรียนหอวัง ปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M3,57
โรงเรียนหอวัง ปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M4,74
โรงเรียนหอวัง ปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M5,81
โรงเรียนหอวัง ปทุมธานี,2566/1,ไม่เสียค่าโดยสารโดยใช้พาหนะ,M6,84
โรงเรียนหอวัง ปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P1,0
โรงเรียนหอวัง ปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P2,0
โรงเรียนหอวัง ปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P3,0
โรงเรียนหอวัง ปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P4,0
โรงเรียนหอวัง ปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P5,0
โรงเรียนหอวัง ปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,P6,0
โรงเรียนหอวัง ปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M1,238
โรงเรียนหอวัง ปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M2,233
โรงเรียนหอวัง ปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M3,297
โรงเรียนหอวัง ปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M4,356
โรงเรียนหอวัง ปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M5,350
โรงเรียนหอวัง ปทุมธานี,2566/1,นักเรียนอยู่ห่างเกิน 3 กม.,M6,411
โรงเรียนหอวัง ปทุมธานี,2566/1,เดินเท้า,P1,0
โรงเรียนหอวัง ปทุมธานี,2566/1,เดินเท้า,P2,0
โรงเรียนหอวัง ปทุมธานี,2566/1,เดินเท้า,P3,0
